movie,pick,review
Birthright: A War Story,0,"The documentary argues that not just pregnancy-related treatment, but also all manner of health care for women, is under constant attack."
Blind,0,Alec Baldwin and Demi Moore star in a clumsy tale about a cranky blind writer and a married woman who finds him affair-worthy.
Bronx Gothic,0,A documentary revisits a harrowing solo performance piece that explores the sexual awakening of two girls in the Bronx.
Chasing Coral,1,"Jeff Orlowski's documentary emphasizes that climate change isn't just an aboveground phenomenon — warmer oceans mean that coral reefs are in peril, too."
Endless Poetry,0,An 88-year-old polymath's nostalgic look back on the Chilean literary scene in the late 1940s.
Footnotes,0,A Marxist musical comedy follows its heroine into a luxury shoe factory and then into a labor dispute.
Lady Macbeth,0,"Victim or villain, flower or serpent? In this British movie, a young 19th-century woman finds passion, makes mischief and commits murder."
The Big Sick,1,"Kumail Nanjiani stars opposite Zoe Kazan in this very funny, moving true story about how he found and almost lost love. Holly Hunter and Ray Romano also star."
The Wrong Light,0,A documentary initially focused on Thailand's sex industry takes a sharp turn when the filmmakers begin to doubt the activist who is their guide.
War for the Planet of the Apes,1,"With Andy Serkis reprising his role as Caesar, “War for the Planet of the Apes” is a humane western wrapped around a prison movie, as primates battle for primacy."
Wish Upon,0,"A teenager unhappy with her circumstances falls prey to a strange box, and it doesn't bode well for the resident high school meanie."
A Ghost Story,1,"Casey Affleck and Rooney Mara play a young couple, one of whom is dead, in David Lowery's haunting new film."
Austin Found,0,Dumb-comedy season is here: Linda Cardellini stars as a manipulative mother who turns to kidnapping when her pageant dreams for her daughter fizzle.
City of Ghosts,0,"In this documentary, Matthew Heineman (“Cartel Land”) focuses on the gutsy Syrian citizen-journalist group called Raqqa Is Being Slaughtered Silently."
Spider-Man: Homecoming,0,"This superhero is back in a reboot that features new faces and familiar fights. Tom Holland wears the suit, but Michael Keaton owns the movie."
Swim Team,0,"Lara Stolman's documentary follows a Special Olympics team for autistic kids, the Jersey Hammerheads, and the challenges they face."
13 Minutes,0,"A German biopic tells the story of Georg Elser, a carpenter who tried to blow up the Führer in 1939."
Baby Driver,1,"Burning rubber and hot licks help propel this action movie about a getaway driver named Baby, played by Ansel Elgort. Edgar Wright directed."
Darkness Rising,0,A woman returns to the site of a family murder only to find the evil spirit that caused it is still hanging around.
Despicable Me 3,0,"Steve Carell and Kristen Wiig revisit their familiar characters, but the goings-on show signs of wear even as the energy level escalates."
Elsa Dorfman's Portrait Photography,0,"Elsa Dorfman, a subject of seemingly modest import for a documentary, emerges here as an artist of deep compassion, empathy, humor and wisdom."
Marie Curie,0,"This biopic, starring Karolina Gruszka, highlights about six years in the life of the Nobel Prize-winning scientist."
Okja,1,Bong Joon-ho's latest film on Netflix is a high-speed satire with a conscience and a heart. And Tilda Swinton in braces.
Reset,0,"This film, produced by Jackie Chan, is a tense sci-fi action thriller with a strong female lead."
Reset,1,"The job didn't work out in the end, but this riveting film documents a choreographer's cheerfully tenacious effort as well as his work on one ballet."
The Beguiled,0,"Ms. Coppola won best director at the Cannes Film Festival for her film starring Nicole Kidman and Colin Farrell, an update on the 1971 movie with Clint Eastwood."
The House,0,Will Ferrell and Amy Poehler play a couple who embark on a nefarious scheme in which the odds are always in their favor.
The Little Hours,0,"The film borrows from Boccaccio, with a sprinkling of Monty Python, for this irreverent comedy set in an Italian convent."
The Reagan Show,0,"A documentary assembled from archival video offers a glimpse of the 40th president's character, but focuses mostly on relations with the Soviets."
The Skyjacker's Tale,0,A documentary by Jamie Kastner is about a fugitive convicted in the deaths of eight people at a golf course in the Virgin Islands.
All the Rage (Saved by Sarno),0,"This documentary looks at Dr. John Sarno, who posits that many types of chronic pain, particularly back pain, are caused by stress and repressed emotions."
"Can't Stop, Won't Stop: A Bad Boy Story",0,Daniel Kaufman's documentary covers a lot of Mr. Combs's history as it records preparations for Bad Boy reunion concerts in Brooklyn.
Food Evolution,0,"Scott Hamilton Kennedy's documentary gives G.M.O. opponents their say, but leaves the last word to food technologists, who insist on reviewing the data."
In Pursuit of Silence,0,"Patrick Shen's documentary explores the harmful effects of excessive sound, linking quietude to tranquillity and better health."
In Transit,1,Albert Maysles's last documentary observes passengers traveling Amtrak's route between Chicago and the Pacific Northwest.
Nobody Speak: Trials of the Free Press,0,"Brian Knappenberger's timely documentary serves as an impassioned defense of the news media, though it lacks depth."
Nowhere to Hide,1,A documentary observes the rising tide of danger and displacement for families living in central Iraq amid the arrival of the Islamic State.
Paulina,0,"The film, with a powerhouse performance by Dolores Fonzi, follows a young Argentine woman who confronts a horrible event in a rural town."
The Bad Batch,0,"An updated tale of ostracism for the golden age of dystopia, written and directed by Ana Lily Amirpour."
Transformers: The Last Knight,0,"Mark Wahlberg is back in the latest “Transformers” movie, but it's stolen by Anthony Hopkins and a grouchy C-3PO knockoff."
47 Meters Down,0,"Mandy Moore and Claire Holt play sisters looking for adventures in Mexico, but being stuck in a cage on the ocean floor wasn't what they had in mind."
All Eyez on Me,0,"Benny Boom's film fails the considerable talent of the complex rapper it chronicles and the actor portraying him, Demetrius Shipp Jr."
Cars 3,1,Lightning is back and feeling a bit old in this latest breezy feature in the Pixar franchise. It offers life lessons that will resonate with adults as well as with children.
Harmonium,1,A mysterious man becomes a disruptive presence for a married couple and their daughter in Koji Fukada's well-acted family drama.
Kill Switch,0,"Dan Stevens contends with drones, militants and a video-game-style parallel universe in his quest to save humanity in this sci-fi feature."
Once Upon a Time in Venice,0,A private detective is desperate to recover his stolen dog in this action-comedy from Mark and Robb Cullen.
Rough Night,0,"Scarlett Johansson and Kate McKinnon play old friends whose boozy bachelorette weekend goes very, very wrong in a comedy from Lucia Aniello."
The Book of Henry,0,"Naomi Watts stars in a cliché-stuffed dumb movie about a smart kid, directed by Colin Trevorrow (“Jurassic World”)."
The Journey,0,Nick Hamm's drama imagines a fictional drive shared by the Irish republican leader Martin McGuinness and the Unionist Ian Paisley.
11:55,0,Ari Issler and Ben Snyder's intimate feature focuses on a young soldier who comes back from Afghanistan to face the fallout from a long-ago crime.
Ascent,0,Fiona Tan's ode to this volcanic mountain draws on a scripted voice-over to impart observations and histories.
Band Aid,0,"Zoe Lister-Jones wrote, directed and stars in this comedy about an out-of-sync couple turning their squabbles into songs."
Beatriz at Dinner,0,Class polarization makes for an uncomfortable dinner party in this film written by Mike White and directed by Miguel Arteta.
Camera Obscura,0,"This horror movie, the feature debut of the writer-director Aaron B. Koontz, has good actors but too many motifs derived from other fright films."
It Comes at Night,1,The sophomore feature by Trey Edward Shults is as spookily self-assured and ambitious as “Krisha.”
Megan Leavey,1,"Based on a true story, this film, starring Kate Mara, is both harrowing and heartstring-tugging."
Miles,0,A boy in pursuit of a college sports scholarship crosses a boundary in a real-life story starring Tim Boardman and Molly Shannon.
Moscow Never Sleeps,0,The interlocking stories in this feature show off a bright metropolis filled with familial dysfunction and frustrated love affairs.
The Hero,1,"Brett Haley's low-key feature, about an older actor seeking redemption after being reduced to a cliché, belongs to its star, Sam Elliott."
The Mummy,0,"This reboot of a monster franchise could have been creepy or campy, but it settles for the dreary action-blockbuster template."
Captain Underpants: The First Epic Movie,0,"DreamWorks brings the book series to the screen, riding the voices of Kevin Hart and Thomas Middleditch and a story featuring huge bathroom fixtures."
Churchill,0,This film re-examines Winston Churchill's image as a gruff British bulldog of a leader by shining a light on his struggle with depression.
Dean,0,"The comic tries his hand at writing and directing a feature film, producing a sweet, humorous drama about loss."
Handsome Devil,0,Two unlikely friends at an all-boys school in Ireland must survive their classmates' bullying with the help of a sympathetic teacher.
Letters from Baghdad,0,A documentary about the British explorer Gertrude Bell focuses on her role in drawing the modern borders of Iraq.
Past Life,0,"This film by the Israeli director Avi Nesher, based on Baruch Milch's memoir, uses a potboiler setup to delve into themes of history and reconciliation."
Tatara Samurai,0,This historical action movie from Yoshinari Nishikori has a laudably realistic grit and takes an unexpected turn for a film of its genre.
The Exception,0,"Christopher Plummer plays the exiled German Kaiser Wilhelm II in this melodrama, which unfolds in the Netherlands in the early years of the Second World War."
The Incomparable Rose Hartman,0,Otis Mass's documentary portrait of a Manhattan celebrity photographer reflects a talented but exasperating pro.
Turn It Around: The Story of East Bay Punk,0,"A sprawling documentary retraces the birth of the punk scene in the Bay Area, where bands like Green Day and Rancid came together and thrived."
Vincent N Roxxy,0,"This combination crime drama and romance finds Emile Hirsch and Zoë Kravitz circling each other, and trying to stay away from bad guys."
Wonder Woman,1,"The movie, directed by Patty Jenkins and starring Gal Gadot, shakes off branding imperatives with touches of screwball comedy and romantic adventure."
Baywatch,0,"Dwayne Johnson and his lifeguard squad try to save the Bay while providing the sort of sleazy, wholesome entertainment this '90s series was known for."
Berlin Syndrome,0,Teresa Palmer has a breakthrough role as a young woman on holiday in Berlin whose instant romance with a stranger results in her abduction.
Buena Vista Social Club: Adios,1,"This vital, informative companion piece to Wim Wenders's 1999 documentary chronicles the late-life careers, and deaths, of the “Buena Vista” stars."
Drone,0,"Jason Bourque's thriller examines the moral compromises of meting out death from afar, and the unraveling of a home when a victim comes to supper."
Long Strange Trip,1,Amir Bar-Lev's four-hour documentary chronicles the band's deeply musical journey while placing it at the joyous center of the counterculture.
Pirates of the Caribbean: Dead Men Tell No Tales,0,The latest in the “Pirates of the Caribbean” franchise brings back Johnny Depp's Captain Sparrow but leaves the joy an ocean away.
Restless Creature: Wendy Whelan,1,"A documentary captures this ballerina at a critical moment in 2013, when she was both trying for a comeback and coming to terms with aging."
The Women's Balcony,1,"The power and resourcefulness of women are on display in this small-scale comedy, which manages to speak to a broader political movement."
War Machine,0,Gen. Stanley A. McChrystal is the commander alluded to in David Michôd's satirical portrait of a man in over his head and enthralled by his own hype.
Afterimage,1,"This passionate political movie tells the story of Wladyslaw Strzeminski, a real-life artist who suffered under Soviet rule."
Alien: Covenant,0,"The new entry in Ridley Scott's long-lived franchise is committed to the canny management of expectations, but that doesn't diminish its creepiness."
Diary of a Wimpy Kid: The Long Haul,0,Greg and his brothers are dragged on a dreary road trip by their parents. You can probably guess the rest.
"Everything, Everything",0,"Amandla Stenberg plays a teenager with an immune system disorder who falls for the boy next door, and risks everything."
Paint It Black,0,"In this adaptation of Janet Fitch's novel, two women react very differently to a suicide."
Radio Dreams,1,A fictional San Francisco radio station provides a place for immigrants adrift to bond in the ether.
The Commune,0,Trine Dyrholm is “magnificent” as a woman buckling under the strain of her career and her marriage in Thomas Vinterberg's latest film.
The Woman Who Left,1,"From the modern Philippines, Lav Diaz's haunting and pessimistic take on a Tolstoy story."
Wakefield,0,A man indulges a fantasy to escape his routine by camping out in a storage room above his garage and observing his own absence.
Folk Hero & Funny Guy,0,"Alex Karpovsky of “Girls” stars as a bad comic opening for a good folk-rocker. As their trip rolls along, tensions bubble up."
Get Me Roger Stone,0,"The operative Roger J. Stone Jr. has a scandalous history, a Nixon tattoo and boldfaced acquaintances, including President Trump, all explored in this documentary."
King Arthur: Legend of the Sword,0,"The Arthurian legend gets a makeover with quips, winks, body blows, digital elephants and an easy, breezy Charlie Hunnam."
Lowriders,0,"A father is immersed in the lowrider world, while a son wants only to pursue his art. And then another son is released from prison."
Manifesto,1,"Julian Rosefeldt's art installation is now a film, with this chameleonic actress morphing into multiple characters."
Paris Can Wait,0,"In this film, Diane Lane stars as a Hollywood producer's wife whose road trip to Paris becomes a journey of self-discovery — and a gastronomic affair."
Snatched,0,Amy Schumer teams up with Goldie Hawn in “Snatched.” Only one of them gets to be funny.
The Wall,0,"Working with a minimalist script and a tight budget, the director Doug Liman brings vein-popping intensity to a claustrophobic standoff in Iraq."
The Wedding Plan,1,"Rama Burshtein received acclaim for her debut feature, “Fill the Void.” Now she's back with another biting, multilayered romantic comedy."
Tracktown,0,"Alexi Pappas, a runner who, in real life, competed at the 2016 Olympics, helped write, direct and produce — and stars in — a film about a runner."
Urban Hymn,1,"A social worker tries to connect with a troubled 17-year-old through music, but the girl's street-tough best friend stands in the way."
Whisky Galore,0,"The islanders are still driven to lawlessness after their whisky runs out, but this remake lacks the luster of the original."
Angkor Awakens: A Portrait of Cambodia,1,Robert H. Lieberman's documentary scrutinizes the harrowing abuses and tormented legacy of the Khmer Rouge regime.
Another Evil,0,"In this ultra-low-budget ghost story, the living may exhibit more unsettling behavior than the dead."
Burden,0,"A documentary looks at Chris Burden, who had himself shot, crucified and more, all for the sake of his performance art."
Chuck,0,"Liev Schreiber may not resemble Chuck Wepner, but he convincingly portrays this boxer, whose 1975 bout with Muhammad Ali inspired Sylvester Stallone."
Guardians of the Galaxy Vol. 2,0,"Chris Pratt, Zoe Saldana and the crew are back for this sequel to the 2014 hit about a ragtag group of futuristic fighters."
Julian Schnabel: A Private Portrait,0,"Though this documentary looks at the artist and his work, it is more concerned with layering on the admiration."
Mr. Chibbs,0,"In this documentary by Jill Campbell, the former N.B.A. point guard hopes to develop a life after the clock runs out on his athletic career."
Risk,0,"This Laura Poitras documentary follows the elusive and evasive WikiLeaks founder over several years, but real-time events have overtaken the film's tale."
Sacred,0,"This documentary, using footage shot by 40 filmmakers in 25 countries, depicts the uses and rituals of religion in a range of environments."
Ta'ang,0,Wang Bing's documentary observes refugees from the Kokang region in Myanmar who have fled across the border into China.
Take Me,0,This deadpan comedy starring Taylor Schilling and Pat Healy features a fake abduction that gets all too real.
The Dinner,0,Richard Gere and Steve Coogan face off as estranged brothers with serious family matters to attend to in this film adaptation of Herman Koch's book.
The Lovers,0,"Debra Winger and Tracy Letts play a couple whose passions for each other have reignited, to the chagrin of their lovers."
A Dark Song,1,"This intense debut feature from the Irish director Liam Gavin, with its spare style, is a marriage of acting and atmosphere."
Buster's Mal Heart,0,"Mr. Malek, of “Mr. Robot,” heads for the hills of Montana as a man fleeing a soul-deadening job and the burdens of modern life."
Casting JonBenet,0,"In a conceptual exercise, actors audition for roles in the celebrated case as a way of showing how people are still preoccupied by it."
Harold and Lillian: A Hollywood Love Story,1,"Meet the husband-and-wife team that inspired some of the most memorable moments onscreen, from “The Graduate” to “The Birds.”"
How to Be a Latin Lover,0,"In this good-natured comedy, the Mexican actor and comedian has been dumped and has to settle for real life."
LA 92,0,"This documentary, one of several commemorating the riots' 25th anniversary, assembles broadcast and helicopter footage into a taut chronological account."
Let It Fall: L.A. 1982-1992,1,"Politicians, the police, victims and survivors deliver an oral history of the rising racial tensions that led to the early-1990s Los Angeles riots."
Natasha,0,"When a morose Russian teenager comes to town, a 16-year-old in the Toronto suburbs meets his match."
Nise: The Heart of Madness,1,A drama from Brazil about a psychiatrist who defied medical orthodoxy and treated patients with paint brushes instead of spikes and electroshock therapy.
Rupture,0,Noomi Rapace plays a woman subjected to jumbo syringes and repulsive nuzzling after being kidnapped by a mysterious cult.
The Circle,0,Emma Watson and Tom Hanks star in this adaptation of a Dave Eggers novel that explores surveillance-state threats.
Born in China,0,Disneynature's latest documentary visits remote parts of China to provide rare glimpses of young animals in the wild.
Citizen Jane: Battle for the City,0,Jane Jacobs fought against Robert Moses' plans to develop Lower Manhattan. This documentary revisits their legendary feud.
Free Fire,1,"Ben Wheatley's formula for action-movie success: a best actress Oscar winner, dozens of firearms and a warehouse full of testosterone."
Jeremiah Tower: The Last Magnificent,0,"Lydia Tenaglia's documentary is a portrait of Mr. Tower, a force behind the California Cuisine movement in the 1970s, among other culinary feats."
The Penguin Counters,0,"This documentary follows biologists to Antarctica, where they estimate the animals' numbers and gauge the damage of climate change."
The Promise,0,"Oscar Isaac, Christian Bale and Charlotte Le Bon star in this wartime romance with a heavy subject (genocide) but a corny plot."
Unforgettable,0,Rosario Dawson and Katherine Heigl star in a thriller that works a wearyingly familiar formula.
Chasing Trane: The John Coltrane Documentary,0,"John Scheinfeld's documentary about John Coltrane draws on interviews, including those with Bill Clinton, Carlos Santana and Cornel West."
Finding Oscar,0,"This documentary looks at a Guatemalan village that was wiped out during a civil war, and searches for one of the few survivors."
Little Boxes,0,A family ventures beyond the bubble of gentrified Brooklyn to a small town and is thrown out of its comfort zone.
Norman,1,"‘Norman: The Moderate Rise and Tragic Fall of a New York Fixer,' Joseph Cedar's latest film, pits Jew against Jew on the fringes of power and influence."
The Fate of the Furious,0,"Each installment of “Fast and Furious” is more enjoyably ludicrous than the last, even as the death of the star Paul Walker continues to hang over the franchise."
The Lost City of Z,1,"Charlie Hunnam stars in this period adventure story about love, loss and mystery in the Amazon from the director James Gray."
Tommy's Honour,0,"The director Jason Connery's staid biopic is about the 19th-century golf pioneer Tom Morris and his son, with class conflict as a backdrop."
Tomorrow,1,The fast-faced documentary “Tomorrow” profiles men and women with concrete solutions for moving away from fossil fuels and protecting the environment.
All These Sleepless Nights,0,"A Polish film follows its young protagonist as he flirts, attends parties until dawn and gyrates to a perpetual backbeat."
Gifted,0,A young math prodigy and her strong bond with her uncle are tested when a debate arises over whether to cultivate her abilities or let her be a child.
Going in Style,0,"Michael Caine, Alan Arkin and Morgan Freeman star in a comedy about old dudes who rob a bank, a remake of a 1979 movie."
Speech & Debate,0,"Stephen Karam's film adaptation of his own play is a comedy about students who don't quite fit in but insist, in their clumsy way, on being heard."
The Assignment,0,"In Walter Hill's film, a revenge plot is set in motion after a hit man, played by Michelle Rodriguez, undergoes a forced gender reassignment surgery."
The Ticket,0,"In this drama, Dan Stevens is exceptional as a blind man who is less than happy with what he sees after his sight is restored."
Their Finest,0,Gemma Arterton stars in this World War II drama about a screenwriter who's hired to create uplift and propaganda. From the director of “An Education.”
Your Name,1,"Manohla Dargis reviews Makoto Shinkai's latest film, a lovely and touching Japanese animation in which teenagers find themselves trading bodies and lives."
All This Panic,0,"This limber, light-footed documentary becomes a sort of dreamy film diary for the girls it profiles."
Cezanne and I,0,"A new film offers an intimate, searching portrait of the turbulent friendship between the writer and the painter."
Five Came Back,1,A screen adaptation of Mark Harris's 2014 book adds visuals to the story of five Hollywood directors who served in World War II with cameras in tow.
Ghost in the Shell,0,"Scarlett Johansson, playing a cyborg called Major, rises above it all in the thrill-free science fiction thriller."
Gilbert,0,"These documentaries go behind the scenes with their well-known subjects, Rose Marie and Gilbert Gottfried."
Karl Marx City,1,"In this documentary, a filmmaker returns to her hometown in the former East Germany seeking personal and political insight."
Live Cargo,0,"This first feature by the director Logan Sandler has great acting, stunning imagery and a vivid Caribbean setting. But its words prove elusive."
T2 Trainspotting,1,The sequel to the gloriously scabrous film that kick-started the careers of Danny Boyle and Ewan McGregor illustrates the consequences of a misspent youth.
The Boss Baby,0,"An animated feature starring a newborn with an oh-so-familiar voice may confuse the kiddies, but grown-ups should get a kick out of it."
The Zookeeper's Wife,0,This true story of a couple who sheltered Jews beneath the Warsaw Zoo has tender moments but its portrayal of the Nazi invasion is too timid and sanitized.
Wilde Salomé,1,"A story of obsession plays out in “Wilde Salomé” and “Salomé,” as Mr. Pacino veers into Camp."
"A Woman, a Part",0,"In Elisabeth Subrin's feature, a nuanced take on friendship and professional frustration, an actress finds that early relationships can fade."
After Auschwitz,0,The documentary traces the experiences of six women who settled in the United States after the end of World War II.
CHIPS,0,"This unrepentantly lewd comedy, based on the 1977-83 television series of the same name, stars Dax Shepard, who also wrote and directed."
Dig Two Graves,0,"Hunter Adams shows his skill as a filmmaker, delivering a chiller that conjures eeriness and dread without defaulting to abundant gore."
I Called Him Morgan,0,The director Kasper Collin has created a suave and sensitive documentary about the life and death of the great trumpeter Lee Morgan.
"I, Olga Hepnarová",0,This Czech film gives a haunting account of the life of the mentally ill young woman who killed eight people in Prague in 1973.
Life,0,"This movie offers proof of life on another planet, sure, but it is also the occasion for another “Alien”-type deadly game of hide-and-seek."
Phillauri,0,Anshai Lal's Bollywood movie uses a friendly ghost to turn a contemporary comedy into a historical drama that includes a massacre under British rule.
Power Rangers,0,"The popular 1990s series receives a big-screen reboot, and five new teenage superheroes face off against the latest alien threat."
Prevenge,1,"Alice Lowe wrote, directed and stars in this British film about a pregnant serial killer on a darkly comedic odyssey dictated by her malicious fetus."
Wilson,0,"A movie, based on Daniel Clowes's graphic novel, about a man's well-requited contempt for humanity."
After the Storm,1,"The Japanese director Hirokazu Kore-eda's latest family drama, focusing on a writer who's fallen on hard times, works in a quiet cinematic register."
Atomica,0,"This sci-fi thriller may not have “Arrival”-level effects or sophistication, but it delivers a solid B-movie kick."
Beauty and the Beast,1,A compassionate Belle and a splendid monster are the hallmarks of this live-action remake of the 1991 animated film.
Betting on Zero,0,A documentary looks at a hedge fund manager's $1 billion bet against that nutritional company and his efforts to expose what he characterized as consumer fraud.
Mean Dreams,0,"Nathan Morlando's film may focus on two young lovers, but Bill Paxton shines as a corrupt sheriff in one of his final film roles."
Song to Song,1,"This drama about intersecting love lives features themes like betrayal, identity and art. Religion appears, too, in the film, set in Austin, Tex."
The Belko Experiment,0,"This film, set in Colombia, wallows in the cheap and hackneyed irony of choreographed slaughter."
Actor Martinez,0,"Acting may be his first love, but the title character in “Actor Martinez” soon learns it's no picnic — especially when dealing with his directors."
Badrinath Ki Dulhania,0,"This Bollywood rom-com, directed by Shashank Khaitan, describes the growing pains of a gentleman whose fiancée teaches him to acknowledge her equality."
Kong: Skull Island,0,"In this remake, the beast King Kong has a new look and a new beauty (Brie Larson), who's feistier than her predecessors."
My Scientology Movie,0,The British journalist Louis Theroux relies on a meandering charm in this documentary examining the Church of Scientology's hold on its members.
Personal Shopper,1,Olivier Assayas's new film is both a supernatural thriller and an unnerving inquiry into the drift and mystery of modern life.
Raw,1,Julia Ducournau's film unfolds during rush week in a nightmarish veterinary school.
The Ottoman Lieutenant,0,A nurse travels to the Ottoman Empire on the eve of World War I. Can romance blossom amid earthshaking events?
The Sense of an Ending,0,"Adapted from Julian Barnes's 2011 novel, Ritesh Batra's film portrays an emotionally detached man gingerly revisiting his past."
The Show About the Show,0,"Caveh Zahedi, the film's director and star, recounts the misadventures experienced while producing an initially sexually explicit semidocumentary series."
Who's Crazy?,0,"Featuring Ornette Coleman and Marianne Faithfull, the music provides counterpoint to a tale of patients from a psychiatric institution on a kind of holiday."
Apprentice,1,"In this film from Singapore, the chief executioner at a high-security prison takes on a new assistant."
Before I Fall,0,Zoey Deutch relives a day repeatedly until she gets it right in this film based on a young-adult novel.
"Ben-Gurion, Epilogue",0,Issues of sovereignty in the Middle East are revisited in a pair of documentaries.
Canners,0,A documentary follows bottle and can collectors in New York as they toil to fill their carts for $30 or $40 a day.
Kiki,0,"There are echoes of “Paris Is Burning” in this documentary, which chronicles a tight-knit community in New York. Yet there is a striking absence of elder mentors."
Logan,0,"This is old-school meets new-school pulp filled with intimations of mortality, and raw, ugly violence. And once again, Hugh Jackman plays the Wolverine."
Nakom,0,"Kelly Daniela Norris and T. W. Pittman's movie tells the story of a young medical student in Ghana, who returns home to a village to pay off a debt."
Table 19,0,Slapstick and sap vie for prominence in a comedy so lazy that it actually features someone falling off a log.
The Last Word,0,"The 82-year-old actress holds your attention, but this film about a woman padding out her future obituary has an artificial ring."
The Shack,0,"Sam Worthington and Octavia Spencer star in “The Shack,” a Christian-themed film based on a best seller."
Wolves,0,Taylor John Smith and Michael Shannon star in a sports film that transcends its stock characters for a while but eventually disappoints.
As You Are,0,Two teenage boys in the 1990s bond over alt-rock only to have their friendship strained in this first feature directed by Miles Joris-Peyrafitte.
Bitter Harvest,0,"Prettily filmed yet parochial, this film follows two lovers through a mass starvation in the early 1930s."
Dying Laughing,0,Paul Toogood and Lloyd Stanton's documentary talks to comedians about the rigors of the road and other stresses of their profession.
Get Out,1,"This movie by Jordan Peele, his first as a director of feature films, is a skillful hybrid, blending genres into something terrifying."
My Life as a Zucchini,0,"This animated tale of an orphan, freighted with the name Icare, or Icarus, is more charming than grim."
Paraguay Remembered,0,"This documentary reflects on a legacy of political turmoil as the director, Dominique Dubosc, returns to Paraguay after 40 years."
Rock Dog,0,An animated movie for children is elevated by a fine vocal performance from Eddie Izzard.
A Cure for Wellness,0,This thriller from Gore Verbinski makes for a nice game of Name That Movie Influence as it treads the boundary between homage and outright plagiarism.
American Fable,0,"Anne Hamilton's film seems full of suspenseful promise as it opens on an isolated swath of the country's heartland, but the story finds no traction."
Breaking Point: The War for Democracy in Ukraine,0,"The documentary, directed by Mark Jonathan Harris and Oles Sanin, looks at Russian aggression toward the country, which is struggling to rebuild."
Everybody Loves Somebody,0,"A messed-up heroine is asked to choose between naughty and nice in Catalina Aguilar Mastretta's sophomore feature, which is predictable but satisfying."
Fist Fight,0,"It's the last day of school, and two teachers are getting ready to rumble in this comedy directed by Richie Keen."
From Nowhere,1,Julianne Nicholson plays a Bronx high school teacher who tries to help three undocumented students cope with the threat of being discovered by the authorities.
How Heavy This Hammer,0,"Written and directed by Kazik Radwanski, this film was shot in practically all hand-held almost close-ups."
Lovesong,1,"The movie, directed by So Yong Kim, explores the mystery of unspoken love."
My Name Is Emily,0,"Evanna Lynch, of “Harry Potter,” plays a teenager who leaves her foster home to search for her institutionalized father."
The Great Wall,0,"Zhang Yimou's costume spectacle offers drooling creatures, glowering warriors, a swaggering mercenary and a message about China's might."
1 Night,0,"This debut feature by Minhal Baig has two high school students, a couple in their 30s and a dash of charm."
A United Kingdom,1,"This romance illustrates the struggle for African independence from colonialism, under the shadow of apartheid."
Don't Hang Up,0,This formulaic horror movie features teenagers behaving badly and suffering the consequences.
Eagles of Death Metal,0,Colin Hanks's documentary follows the band that was playing at the Bataclan in Paris when terrorists struck in 2015.
Fifty Shades Darker,0,Will moviegoers want to surrender control to this sequel to “Fifty Shades of Grey”?
I Am Jane Doe,0,This documentary is a chronicle of the fight to hold an online classifieds site liable for children being sold into sex slavery.
John Wick: Chapter 2,0,"This sequel is an altogether more solemn affair than the original, weighed down by the philosophy that more is always more."
Kedi,1,This documentary profiles distinctive street cats in Istanbul and the human communities that interact with them.
Keep Quiet,0,This documents how the career of the far-right Hungarian politician Csanad Szegedi was upended when he found out about his lineage.
Left on Purpose,0,"This documentary focuses on Mayer Vishner, a man who has decided to end his life, and finds the filmmaker in an uncomfortable position."
The Island Funeral,0,This second feature by the Thai director Pimpaka Towira finds three young adults on an enigmatic journey.
The Lego Batman Movie,0,"Warner Bros. offers amusement at its own expense and Will Arnett gives great voice to Gotham's brooder, but this new movie is still a commercial."
A Good American,0,"Friedrich Moser's documentary employs re-enactments, moving graphics and a Philip Glass-like score."
Eloise,0,"Robert Legato's horror movie is “a strange mix of the recycled and the surreal,” Jeannette Catsoulis writes."
Growing Up Smith,0,This gentle coming-of-age film centers on a youngster caught between two cultures and struggling to adapt in suburbia.
I Am Not Your Negro,1,Raoul Peck's documentary is an important introduction to James Baldwin's work and an advanced seminar in racial politics.
"Liza, Liza, Skies Are Grey",0,"Teenagers on the run, with a motorcycle, and hints of the 1960s."
Mr. Gaga,0,Tomer Heymann's documentary on the Israeli choreographer Ohad Naharin is a scattered and somewhat confused film about an intriguing and complicated man.
Rings,0,"The latest in a horror franchise that began in Japan, this film fills in the back story of Samara, the girl who kills via VCR."
The Comedian,0,"Joined by a cast that includes Edie Falco and Harvey Keitel, Mr. De Niro plays an insult comic in a film that, like its jokes, lacks zing."
The Space Between Us,0,"Peter Chelsom's movie concerns a young human (Asa Butterfield), raised in isolation on Mars, who visits Earth and a video-chat pal (Britt Robertson)."
This Is Everything: Gigi Gorgeous,0,"Barbara Kopple's film documents how Gigi Gorgeous, formerly Gregory Allan Lazzarato, took control of her transgender destiny with the support of her family."
A Dog's Purpose,0,"This film, opening amid a call for a PETA boycott, is a string of hero-dog fantasies and observations from the canine point of view."
Gold,0,"He plays a rogue who strikes it rich, a thrill complicated by the corruptions of wealth, treachery and the schemer's own fecklessness."
Kung Fu Yoga,0,Mr. Chan mugs and thwarts assailants in this harmless international romp.
Lost in Florence,0,"Evan Oppenheimer's film is a mild romantic drama with a guy perspective, featuring beautiful women and a brutal athletic spectacle."
Midsummer in Newtown,0,This documentary explores the value of a Shakespeare production intended to help residents heal after the horrific school shooting.
